;p_hash;retweets_by_cluster_1;retweets_by_cluster_2;retweets_by_cluster_3;retweets_by_cluster_4;sum_of_retweets_by_cluster_1_to_4;num_of_unique_tweet_id;sum_of_retweet_count;image_url
0;b9b7628638c935ca;1577;15950;161;332;18020;15;24399;https://storage.googleapis.com/vote-twitter-stream/5331720710651904.jpg
1;d47a09e12cb81fc7;1423;8751;102;148;10424;11;20104;https://storage.googleapis.com/vote-twitter-stream/6600276278509568.jpg
2;9a2f6093d0aadcec;3181;5446;1220;403;10250;34;28833;https://storage.googleapis.com/vote-twitter-stream/5450323950829568.jpg
3;e64dc8a663a358a7;1779;6927;9;19;8734;13;12593;https://storage.googleapis.com/vote-twitter-stream/6259933741842432.jpg
4;87be796165361cc8;1077;5841;79;79;7076;9;13769;https://storage.googleapis.com/vote-twitter-stream/5206482979127296.jpg
5;c5fd801bb9c66255;1258;5004;15;50;6327;3;7540;https://storage.googleapis.com/vote-twitter-stream/6716355151659008.jpg
6;bce2e261323766b2;736;4750;119;93;5698;9;18979;https://storage.googleapis.com/vote-twitter-stream/5825533770203136.jpg
7;a9661439e4e4db1b;1991;2144;1198;286;5619;31;15896;https://storage.googleapis.com/vote-twitter-stream/4996560991551488.jpg
8;830c29a73df3259d;1986;2056;1194;285;5521;19;15597;https://storage.googleapis.com/vote-twitter-stream/4852371825885184.jpg
9;bb608e97dc25b10b;1986;2055;1193;284;5518;12;15594;https://storage.googleapis.com/vote-twitter-stream/5517796880416768.jpg
